Rubella Post,1,Vaccine Effect,"Rubella Post-vaccine: In 1979, 10 years after the MMR vaccine was introduced, just one person in the U.S. died to Rubella.",http://vaccines.procon.org/view.resource.php?resourceID=005969,http://2015.igem.org/Team:Freiburg/Project/Diseases,rubella.png
Mumps Post,5,Vaccine Effect,"Mumps Post-vaccine: A viral disease that most often afflicts children, Mumps claimed only one American life in 1977, 10 years after the Mumps vaccine was instituted by the government.",http://vaccines.procon.org/view.resource.php?resourceID=005969,http://fineartamerica.com/featured/mumps-virus-tem-ami-images.html,mumps.png
Shark,10,Animal,Shark: The movie Jaws stereotyped sharks very poorly. Sharks only claimed 10 lives in 2014.,https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,shark.png
Wolf,10,Animal,"Wolf: Death by being mauled or attacked by wolves is very rare. Only 10 deaths were reported in the year 2014 worldwide, a majority of which were children.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,wolf.png
Chicken Pox Post,13,Vaccine Effect,"Chicken Pox Post-vaccine: A disease that affects mostly children, chicken pox claimed only 13 lives in 2005, a significant decrease after a vaccine was instituted ten years prior.",http://vaccines.procon.org/view.resource.php?resourceID=005925,https://zarga.us/Our-Services/Routine-Immunization/Chickenpox,chicken pox.png
Polio Post,20,Vaccine Effect,"Polio Post-vaccine: Ten years after the polio vaccine was discovered, only 20 annual deaths were attributed to polio.",http://vaccines.procon.org/view.resource.php?resourceID=005964,http://www.wikiwand.com/en/Poliovirus,polio.png
Measles Post,23,Vaccine Effect,"Measles Post-vaccine: In 1973, ten years of the the measles vaccine was introduced, only 23 people in the U.S. died to measles.",http://vaccines.procon.org/view.resource.php?resourceID=005969,https://domekaformadero.wordpress.com/2012/05/20/measles/,measles.png
Rubella Pre,29,Vaccine Effect,"Rubella Pre-vaccine: 29 people died as a result of the German Measles in 1969 in America, just one year after the vaccine was introduced.",http://vaccines.procon.org/view.resource.php?resourceID=005969,http://2015.igem.org/Team:Freiburg/Project/Diseases,rubella.png
Mumps Pre,37,Vaccine Effect,"Mumps Pre-vaccine: 37 people died as a result of Mumps, just before the vaccine was introduced (1967).",http://vaccines.procon.org/view.resource.php?resourceID=005969,http://fineartamerica.com/featured/mumps-virus-tem-ami-images.html,mumps.png
Diphtheria Post,69,Vaccine Effect,"Diptheria Post-vaccine: In 1960, ten years after the widespread use of the vaccine, the number of deaths in the U.S. caused by diptheria was 69.",http://vaccines.procon.org/view.resource.php?resourceID=005971,https://puffthemutantdragon.wordpress.com/2011/12/10/do-vaccines-contain-toxic-chemicals/,diptheria.png
Lion,100,Animal,Lion: The King of the Jungle was responsible for 100 human deaths across the world in 2014.,https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,lion.png
Elephant,100,Animal,"Elephant: Elephants turned out to be almost 10x more deadly than sharks in 2014, claiming 100 lives across the world.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,elephant.png
Chicken Pox Pre,115,Vaccine Effect,"Chicken Pox Pre-vaccine: Just before the vaccine became widespread (1995), Chicken Pox claimed 115 lives in the United States.",http://vaccines.procon.org/view.resource.php?resourceID=005925,https://zarga.us/Our-Services/Routine-Immunization/Chickenpox,chicken pox.png
Whooping Cough Post,118,Vaccine Effect,"Whooping Cough Pre-vaccine: Whooping cough claimed 119 lives in the United States in 1960, just before the vaccie was instituted.",http://vaccines.procon.org/view.resource.php?resourceID=005971,http://solutionsdesignedforhealthcare.com/pertussis-prevention-whooping-cough,whooping cough.png
Mining,122,Occupational,Mining: Mining happens to be one of the world's most dangerous professions. It claimed 122 lives in 2002 and numbers haven't really changed since then.,http://www.bls.gov/iif/oshwc/cfoi/cftb0170.pdf,https://openclipart.org/,mining.png
Tetanus Post,231,Vaccine Effect,"Tetanus Post-vaccine: Tetanus vaccinations were not offered in many states -- perhaps this is why it claimed 231 lives in 1960, even though the vaccine had existed for 10 years.",http://vaccines.procon.org/view.resource.php?resourceID=005971,http://2015.igem.org/Team:Freiburg/Project/Diseases,tetanus.png
Gulf War,258,War,"Gulf War: The gulf war, also known as Operation Desert Shield, caused the loss of 258 lives.",http://www.statisticbrain.com/u-s-war-death-statistics/,http://www.nioec.org/en/Pages/Home.aspx,gulf war.png
Tetanus Pre,336,Vaccine Effect,"Tetanus Pre-vaccine: In 1950, at the very start of widespread tetanus vaccination, 336 people in the U.S. died of tetanus.",http://vaccines.procon.org/view.resource.php?resourceID=005971,http://2015.igem.org/Team:Freiburg/Project/Diseases,tetanus.png
Measles Pre,364,Vaccine Effect,"Measles Pre-vaccine: Measles clainmed 364 U.S. lives in the year 1963, just before the vaccine was instituted.",http://vaccines.procon.org/view.resource.php?resourceID=005969,https://domekaformadero.wordpress.com/2012/05/20/measles/,measles.png
Hepatitis B Pre,394,Vaccine Effect,"Hepatitis B Pre-vaccine: Hep B, a particularly painful affliction, killed 395 people in 1981, the year the vaccination was introduced in the United States.",http://vaccines.procon.org/view.resource.php?resourceID=005968,http://zarga.us/Our-Services/Travel-Medicine/hepatitis-b,hepatitis b.png
Diphtheria Pre,410,Vaccine Effect,"Diptheria Pre-vaccine: In 1960, Diptheria claimed 69 U.S. lives, just after the vaccine was instituted.",http://vaccines.procon.org/view.resource.php?resourceID=005971,https://puffthemutantdragon.wordpress.com/2011/12/10/do-vaccines-contain-toxic-chemicals/,diptheria.png
